,Unnamed: 0,datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
2042,2042,2018,Beijing,36.0,27.9,30.8,43.3,30.9,37.7,25.3,73.3,4.0,100,4.17,rain,0.0,0.0,,21.6,121.8,1006.1,32.6,10.3,255.4,22.1,8,,2018-08-05T05:16:15,2018-08-05T19:24:07,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,precipitation,"ZBAA,54511099999"
572,572,2014,Beijing,36.0,23.7,29.3,36.8,23.7,30.0,17.6,50.6,0.0,0,0.0,,,,,21.6,178.8,1007.9,10.9,6.5,292.4,25.4,9,,2014-07-27T05:08:02,2014-07-27T19:33:23,0.0,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
1265,1265,2016,Beijing,36.0,20.0,28.3,34.8,20.0,28.1,15.7,50.7,0.0,0,0.0,,,,,18.0,192.8,1004.4,54.8,9.6,275.3,23.7,9,,2016-06-19T04:45:46,2016-06-19T19:45:55,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
2355,2355,2019,Beijing,36.0,20.0,28.4,33.7,20.0,27.5,12.3,45.8,0.0,0,0.0,,0.0,0.0,36.0,18.0,61.3,1003.5,3.2,10.9,348.5,30.1,10,,2019-06-14T04:45:23,2019-06-14T19:43:58,0.39,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
527,527,2014,Beijing,36.0,19.0,27.8,34.8,19.0,27.3,14.0,47.1,0.0,0,0.0,,,,25.2,14.4,50.8,1005.9,34.3,21.1,317.6,27.4,10,,2014-06-12T04:45:28,2014-06-12T19:43:09,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
1675,1675,2017,Beijing,36.0,24.0,30.3,40.8,24.0,34.1,23.5,70.6,66.0,100,4.17,rain,,,39.6,18.0,289.5,995.6,24.9,10.4,296.1,25.7,9,,2017-08-03T05:14:37,2017-08-03T19:26:04,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,precipitation,"ZBAA,54511099999"
3427,3427,2022,Beijing,36.0,16.0,26.6,33.9,16.0,26.1,55.9,50.3,0.0,0,0.0,,0.0,0.0,22.4,13.4,202.0,1004.6,8.0,6.3,341.3,29.6,10,10.0,2022-05-21T04:54:51,2022-05-21T19:27:46,0.67,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
2366,2366,2019,Beijing,36.0,23.0,29.9,35.8,23.0,30.4,16.9,46.7,0.0,0,0.0,,0.0,0.0,,25.2,136.3,1006.1,69.0,10.6,251.8,21.8,9,,2019-06-25T04:47:01,2019-06-25T19:46:54,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
1630,1630,2017,Beijing,36.0,20.0,28.4,34.5,20.0,27.9,14.7,48.1,0.0,0,0.0,,,,,23.3,84.4,1001.4,61.1,11.3,271.4,23.3,10,,2017-06-19T04:45:44,2017-06-19T19:45:51,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3434,3434,2022,Beijing,36.0,18.0,28.6,34.8,18.0,28.0,53.2,37.8,0.0,0,0.0,,0.0,0.0,29.1,13.4,179.8,993.4,35.6,6.9,343.1,29.6,10,10.0,2022-05-28T04:50:14,2022-05-28T19:33:38,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
